<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20120928,000100,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,000200,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,000300,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,000400,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,000500,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,000600,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,000700,1.2910,1.2911,1.2909,1.2909
EURUSD,20120928,000800,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,000900,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,001000,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,001100,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,001200,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,001300,1.2911,1.2911,1.2910,1.2911
EURUSD,20120928,001400,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,001500,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,001600,1.2911,1.2912,1.2911,1.2912
EURUSD,20120928,001700,1.2911,1.2912,1.2911,1.2912
EURUSD,20120928,001800,1.2912,1.2913,1.2911,1.2911
EURUSD,20120928,001900,1.2912,1.2912,1.2911,1.2912
EURUSD,20120928,002000,1.2912,1.2912,1.2911,1.2911
EURUSD,20120928,002100,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,002200,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,002300,1.2910,1.2910,1.2909,1.2910
EURUSD,20120928,002400,1.2909,1.2910,1.2909,1.2909
EURUSD,20120928,002500,1.2909,1.2910,1.2909,1.2910
EURUSD,20120928,002600,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,002700,1.2912,1.2912,1.2912,1.2912
EURUSD,20120928,002800,1.2912,1.2912,1.2912,1.2912
EURUSD,20120928,002900,1.2912,1.2912,1.2911,1.2912
EURUSD,20120928,003000,1.2912,1.2912,1.2912,1.2912
EURUSD,20120928,003100,1.2911,1.2914,1.2911,1.2913
EURUSD,20120928,003200,1.2914,1.2914,1.2912,1.2912
EURUSD,20120928,003300,1.2912,1.2912,1.2912,1.2912
EURUSD,20120928,003400,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,003500,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,003600,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,003700,1.2909,1.2910,1.2909,1.2909
EURUSD,20120928,003800,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,003900,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,004000,1.2909,1.2910,1.2909,1.2910
EURUSD,20120928,004100,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,004200,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,004300,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,004400,1.2911,1.2912,1.2911,1.2912
EURUSD,20120928,004500,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,004600,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,004700,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,004800,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,004900,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,005000,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,005100,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,005200,1.2911,1.2912,1.2911,1.2912
EURUSD,20120928,005300,1.2913,1.2913,1.2912,1.2912
EURUSD,20120928,005400,1.2913,1.2913,1.2911,1.2911
EURUSD,20120928,005500,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,005600,1.2910,1.2911,1.2910,1.2910
EURUSD,20120928,005700,1.2910,1.2911,1.2909,1.2909
EURUSD,20120928,005800,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,005900,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,010000,1.2910,1.2910,1.2908,1.2908
EURUSD,20120928,010100,1.2909,1.2910,1.2909,1.2910
EURUSD,20120928,010200,1.2909,1.2910,1.2909,1.2909
EURUSD,20120928,010300,1.2909,1.2909,1.2908,1.2909
EURUSD,20120928,010400,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,010500,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,010600,1.2909,1.2910,1.2909,1.2910
EURUSD,20120928,010700,1.2909,1.2909,1.2908,1.2908
EURUSD,20120928,010800,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,010900,1.2909,1.2910,1.2909,1.2909
EURUSD,20120928,011000,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,011100,1.2909,1.2909,1.2908,1.2908
EURUSD,20120928,011200,1.2908,1.2908,1.2908,1.2908
EURUSD,20120928,011300,1.2908,1.2908,1.2908,1.2908
EURUSD,20120928,011400,1.2908,1.2910,1.2908,1.2910
EURUSD,20120928,011500,1.2910,1.2912,1.2910,1.2912
EURUSD,20120928,011600,1.2911,1.2912,1.2911,1.2912
EURUSD,20120928,011700,1.2912,1.2912,1.2911,1.2911
EURUSD,20120928,011800,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,011900,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012000,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012100,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012200,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012300,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012400,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012500,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012600,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012700,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012800,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,012900,1.2910,1.2911,1.2910,1.2911
EURUSD,20120928,013000,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,013100,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,013200,1.2911,1.2911,1.2910,1.2911
EURUSD,20120928,013300,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,013400,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,013500,1.2911,1.2911,1.2911,1.2911
EURUSD,20120928,013600,1.2911,1.2911,1.2910,1.2910
EURUSD,20120928,013700,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,013800,1.2910,1.2910,1.2910,1.2910
EURUSD,20120928,013900,1.2909,1.2910,1.2909,1.2909
EURUSD,20120928,014000,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,014100,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,014200,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,014300,1.2909,1.2909,1.2909,1.2909
EURUSD,20120928,014400,1.2909,1.2909,1.2908,1.2909
EURUSD,20120928,014500,1.2909,1.2909,1.2908,1.2908
